id,university_short_name,major_code,program_source_code,program_name,quota,source,source_school_id,is_active
5ba166f4-f3b7-5971-93b1-46821d73a9f4,BKA,PH1,PH1,Vật lý Kỹ thuật,200,tuyensinh247,302,true
974caaf9-11d3-53ab-8a46-a9dd6e493d7a,BKA,PH2,PH2,Kỹ thuật Hạt nhân,40,tuyensinh247,302,true
b46bd8b1-6331-50af-a12d-f98fcda30041,BKA,PH3,PH3,Vật lý Y khoa,60,tuyensinh247,302,true
d013dae4-52d0-597e-8908-eb1b84149e6e,BKA,TE-E2,TE-E2,Kỹ thuật Ô tô (CT tiên tiến),100,tuyensinh247,302,true
feca3bf3-0fa3-509b-8583-85077b300a08,BKA,TE-EP,TE-EP,Cơ khí Hàng không (CT Việt - Pháp PFIEV),40,tuyensinh247,302,true
18b6eca0-3954-5a3d-a3b3-a81f3a0f48d3,BKA,TE1,TE1,Kỹ thuật Ô tô,200,tuyensinh247,302,true
554e0a67-7ef0-5965-879e-0f3f23cbd997,BKA,TE2,TE2,Kỹ thuật Cơ khí động lực,120,tuyensinh247,302,true
d1e3caf4-d412-501c-b37c-7b401d26b5e3,BKA,TE3,TE3,Kỹ thuật Hàng không,80,tuyensinh247,302,true
b49a88fa-494a-56b0-8f72-ac77e15eb40c,BKA,TROY-IT,TROY-IT,Khoa học Máy tính - ĐH Troy (Hoa Kỳ) (do ĐH Troy cấp bằng),120,tuyensinh247,302,true
a031bb80-e129-578e-9002-5febe10ae14a,BKA,TX1,TX1,Công nghệ Dệt May,240,tuyensinh247,302,true
3ff82a7d-933d-5940-a4ac-41f81bc4f83d,BVH,7320101,7320101,Báo chí,100,tuyensinh247,227,true
bbb225be-5c45-56ee-83c7-d1b52a81d0c5,BVH,7320104,7320104,Truyền thông đa phương tiện,120,tuyensinh247,227,true
525ee813-6781-5c00-8411-03e98a43fb69,BVH,7320104_CLC,7320104_CLC,Truyền thông đa phương tiện,110,tuyensinh247,227,true
619cae33-61d2-5ac4-ad63-8e2f4bd2c64c,BVH,7320104_LK,7320104_LK,"Truyền thông Đa phương tiện (Liên kết với đại học Công nghệ Queensland, Úc",20,tuyensinh247,,true
306c318d-cbba-5cf1-b87c-1841b384f25f,BVH,7329001,7329001,Công nghệ đa phương tiện,260,tuyensinh247,227,true
