code,subject_1,subject_2,subject_3,display_name,is_verified
S00,,,,Tổ hợp S00,true
T00,,,,Tổ hợp T00,true
T01,,,,Tổ hợp T01,true
T04,,,,Tổ hợp T04,true
T08,,,,Tổ hợp T08,true
V00,,,,Tổ hợp V00,true
V01,,,,Tổ hợp V01,true
V02,,,,Tổ hợp V02,true
V05,,,,Tổ hợp V05,true
V06,,,,Tổ hợp V06,true
V10,,,,Tổ hợp V10,true
X01,,,,Tổ hợp X01,true
X02,,,,Tổ hợp X02,true
X03,,,,Tổ hợp X03,true
X04,,,,Tổ hợp X04,true
X05,,,,Tổ hợp X05,true
X06,,,,Tổ hợp X06,true
X07,,,,Tổ hợp X07,true
X08,,,,Tổ hợp X08,true
X09,,,,Tổ hợp X09,true
X10,,,,Tổ hợp X10,true
X11,,,,Tổ hợp X11,true
X12,,,,Tổ hợp X12,true
X13,,,,Tổ hợp X13,true
X14,,,,Tổ hợp X14,true
X15,,,,Tổ hợp X15,true
X16,,,,Tổ hợp X16,true
X17,,,,Tổ hợp X17,true
X18,,,,Tổ hợp X18,true
X21,,,,Tổ hợp X21,true
X22,,,,Tổ hợp X22,true
X23,,,,Tổ hợp X23,true
X25,,,,Tổ hợp X25,true
X26,,,,Tổ hợp X26,true
X27,,,,Tổ hợp X27,true
X28,,,,Tổ hợp X28,true
X37,,,,Tổ hợp X37,true
X53,,,,Tổ hợp X53,true
X56,,,,Tổ hợp X56,true
X62,,,,Tổ hợp X62,true
X70,,,,Tổ hợp X70,true
X71,,,,Tổ hợp X71,true
X74,,,,Tổ hợp X74,true
X78,,,,Tổ hợp X78,true
X79,,,,Tổ hợp X79,true
X80,,,,Tổ hợp X80,true
X90,,,,Tổ hợp X90,false
Y08,,,,Tổ hợp Y08,true
