code,name,field_code,description
QHX22,Thông tin - Thư viện,khac,
QHX24,Triết học,khac,
QHX26,Văn học,khac,
QHX27,Việt Nam học,khac,
QHX42,Quản lý thông tin,khac,
QS,"Kỹ sư quân sự (miền Bắc, thí sinh Nam)",khac,
TLA116,Hệ thống thông tin,khac,
TLA127,An ninh mạng,khac,
TLA129,Chương trình Công nghệ chăm sóc sắc đẹp và sức khỏe từ dược liệu,khac,
TLA203,Ngôn ngữ Anh,khac,
TLA204,Ngôn ngữ Trung Quốc,khac,
TLA405,Thương mại điện tử,khac,
TLA409,Kiểm toán,khac,
TLA413,Kinh doanh thương mại,khac,
TM07,Marketing (Marketing Thương mại),khac,
TM08,Marketing (Marketing thương mại - Chương trình định hướng chuyên sâu nghề nghiệp quốc tế - IPOP),khac,
TM09,Marketing (Marketing số),khac,
TM10,Marketing (Quản trị Thương hiệu),khac,
TM11,Marketing (Quản trị thương hiệu - Chương trình định hướng chuyên sâu nghề nghiệp quốc tế - IPOP),khac,
TM15,Kiểm toán (Kiểm toán),khac,
TM16,Kiểm toán (Kiểm toán tích hợp chứng chỉ quốc tế ICAEW CFAB - Chương trình định hướng chuyên sâu nghề nghiệp quốc tế - IPOP),khac,
TM28,Thương mại điện tử (Quản trị thương mại điện tử),khac,
TM29,Thương mại điện tử (Thương mại điện tử - Chương trình định hướng chuyên sâu nghề nghiệp quốc tế - IPOP),khac,
TM30,Thương mại điện tử (Kinh doanh số),khac,
TM37,Quản trị nhân lực (Quản trị nhân lực doanh nghiệp),khac,
TM38,Quản trị nhân lực (Quản trị nhân lực doanh nghiệp - Chương trình định hướng chuyên sâu nghề nghiệp quốc tế - IPOP),khac,
TM40,Ngôn ngữ Trung Quốc (Tiếng Trung thương mại),khac,
TM41,Ngôn ngữ Trung Quốc (Tiếng Trung thương mại - Chương trình định hướng chuyên sâu nghề nghiệp quốc tế - IPOP),khac,
TM44,Marketing (Marketing thương mại) - Thương mại sản phẩm và dịch vụ (Bán hàng) - Chương trình đào tạo song bằng quốc tế,khac,
XDA05,Quy hoạch vùng và đô thị,khac,
