university_short_name,program_source_code,major_name,quota,admission_methods,subject_groups,is_verified
HBT,802,"Xuất bản, chuyên ngành Xuất bản điện tử",50,DGNL_HN,,true
HBT,802,"Xuất bản, chuyên ngành Xuất bản điện tử",50,THPT,"D01,D14,D15,X78",true
CSH,7860100_Nam,Nhóm ngành nghiệp vụ Cảnh sát (Thí sinh Nam),18,DGNL_HN,,true
CSH,7860100_Nam,Nhóm ngành nghiệp vụ Cảnh sát (Thí sinh Nam),342,THPT,"A00,A01,C03,D01,X02,X03,X04",true
CSH,7860100_Nam,Nhóm ngành nghiệp vụ Cảnh sát (Thí sinh Nam),342,HBA,"A00,A01,C03,D01,X02,X03,X04",true
CSH,7860100_Nu,Nhóm ngành nghiệp vụ Cảnh sát (Thí sinh Nữ),2,DGNL_HN,,true
CSH,7860100_Nu,Nhóm ngành nghiệp vụ Cảnh sát (Thí sinh Nữ),38,THPT,"A00,A01,C03,D01,X02,X03,X04",true
CSH,7860100_Nu,Nhóm ngành nghiệp vụ Cảnh sát (Thí sinh Nữ),38,HBA,"A00,A01,C03,D01,X02,X03,X04",true
BPH,7380101_B,Luật (Thí sinh miền Bắc),,HBA,,true
BPH,7380101_B,Luật (Thí sinh miền Bắc),,DGNL_HN,,true
BPH,7380101_B,Luật (Thí sinh miền Bắc),,THPT,"C03,C04,D01",true
BPH,7380101_B,Luật (Thí sinh miền Bắc),,DGTD,Q00,true
BPH,7380101_N,Luật (Thí sinh miền Nam),,HBA,,true
BPH,7380101_N,Luật (Thí sinh miền Nam),,DGNL_HN,,true
BPH,7380101_N,Luật (Thí sinh miền Nam),,THPT,"C03,C04,D01",true
BPH,7380101_N,Luật (Thí sinh miền Nam),,DGTD,Q00,true
BPH,7860214_B,Biên phòng (Thí sinh miền Bắc),,HBA,,true
BPH,7860214_B,Biên phòng (Thí sinh miền Bắc),,DGNL_HN,,true
BPH,7860214_B,Biên phòng (Thí sinh miền Bắc),,DGTD,Q00,true
BPH,7860214_B_C03,Biên phòng (Thí sinh miền Bắc),,THPT,C03,true
BPH,7860214_B_C04,Biên phòng (Thí sinh miền Bắc),,THPT,C04,true
BPH,7860214_B_D01,Biên phòng (Thí sinh miền Bắc),,THPT,D01,true
BPH,7860214_C03_4,Biên phòng (Quân khu 4),,THPT,C03,true
BPH,7860214_C03_5,Biên phòng (Quân khu 5),,THPT,C03,true
BPH,7860214_C03_7,Biên phòng (Quân khu 7),,THPT,C03,true
BPH,7860214_C03_9,Biên phòng (Quân khu 9),,THPT,C03,true
BPH,7860214_C04_4,Biên phòng (Quân khu 4),,THPT,C04,true
BPH,7860214_C04_5,Biên phòng (Quân khu 5),,THPT,C04,true
BPH,7860214_C04_7,Biên phòng (Quân khu 7),,THPT,C04,true
BPH,7860214_C04_9,Biên phòng (Quân khu 9),,THPT,C04,true
BPH,7860214_D01_4,Biên phòng (Quân khu 4),,THPT,D01,true
BPH,7860214_D01_5,Biên phòng (Quân khu 5),,THPT,D01,true
BPH,7860214_D01_7,Biên phòng (Quân khu 7),,THPT,D01,true
BPH,7860214_D01_9,Biên phòng (Quân khu 9),,THPT,D01,true
BPH,7860214_N_4,Biên phòng (Quân khu 4),,HBA,,true
BPH,7860214_N_4,Biên phòng (Quân khu 4),,DGNL_HN,,true
BPH,7860214_N_4,Biên phòng (Quân khu 4),,DGTD,Q00,true
BPH,7860214_N_5,Biên phòng (Quân khu 5),,HBA,,true
BPH,7860214_N_5,Biên phòng (Quân khu 5),,DGNL_HN,,true
BPH,7860214_N_5,Biên phòng (Quân khu 5),,DGTD,Q00,true
BPH,7860214_N_7,Biên phòng (Quân khu 7),,HBA,,true
BPH,7860214_N_7,Biên phòng (Quân khu 7),,DGNL_HN,,true
BPH,7860214_N_7,Biên phòng (Quân khu 7),,DGTD,Q00,true
BPH,7860214_N_9,Biên phòng (Quân khu 9),,HBA,,true
BPH,7860214_N_9,Biên phòng (Quân khu 9),,DGNL_HN,,true
BPH,7860214_N_9,Biên phòng (Quân khu 9),,DGTD,Q00,true
ANH,7480201_Nam,Ngành Công nghệ thông tin (Thí sinh Nam),5,DGNL_HN,,true
ANH,7480201_Nam,Ngành Công nghệ thông tin (Thí sinh Nam),5,HBA,,true
ANH,7480201_Nam,Ngành Công nghệ thông tin (Thí sinh Nam),95,DGTD,"A00,A01,X26,X27,X28",true
ANH,7860100_Nam_B,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",11,DGNL_HN,,true
ANH,7860100_Nam_B,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",11,HBA,,true
ANH,7860100_Nam_B,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",214,DGTD,"A00,A01,C03,D01,X02,X03,X04",true
ANH,7860100_Nu_B,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, miền Bắc)",1,DGNL_HN,,true
ANH,7860100_Nu_B,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, miền Bắc)",1,HBA,,true
ANH,7860100_Nu_B,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, miền Bắc)",24,DGTD,"A00,A01,C03,D01,X02,X03,X04",true
ANH,7860114_Nam_B,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Bắc)",3,DGNL_HN,,true
ANH,7860114_Nam_B,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Bắc)",3,HBA,,true
