id,university_short_name,major_code,program_source_code,program_name,quota,missing_reason,base_program_code,source,source_school_id,is_active
31d29efd-102e-560d-97f4-577a1fdd63f0,DMT,7420203,7420203,Sinh học ứng dụng,,program_code không có trong course_catalog,,tuyensinh247,171,false
7ef01566-ded4-507a-a924-22f0f5da6111,DPD,7340301,7340301,Kế toán,,program_code không có trong course_catalog,,tuyensinh247,325,false
f2e4f241-6c1c-5d04-a30b-ce4dac2925d2,DPD,7420201,7420201,Công nghệ sinh học,,program_code không có trong course_catalog,,tuyensinh247,325,false
e65fc853-365e-5065-9e94-4b3dfd9082be,DPD,7510301,7510301,Công nghệ kỹ thuật Điện - Điện điện tử,,program_code không có trong course_catalog,,tuyensinh247,325,false
f57f8e27-2f49-5750-a9a5-ac9e17ccceac,DQK,7210402,7210402,Thiết kế công nghiệp,,program_code không có trong course_catalog,,tuyensinh247,350,false
ff9c9a91-e000-5f5f-9a97-d00213699243,DTL,7480102,7480102,Mạng máy tính và truyền thông dữ liệu,,program_code không có trong course_catalog,,tuyensinh247,425,false
e96ea07f-eafe-5aa9-b53f-ddc8cbffb8d7,DTL,7720401,7720401,Dinh dưỡng,,program_code không có trong course_catalog,,tuyensinh247,425,false
bb3c3a03-0e33-5270-bea9-82fe9333a0fd,DTL,7760101,7760101,Công tác xã hội,,program_code không có trong course_catalog,,tuyensinh247,425,false
8f30afeb-774b-563b-8af3-51425c84f9fe,ETU,7210404,7210404,Thiết kế thời trang,,program_code không có trong course_catalog,,tuyensinh247,339,false
982c146c-984f-5c58-bf20-aa6481cd656f,ETU,7320106,7320106,Công nghệ truyền thông,,program_code không có trong course_catalog,,tuyensinh247,339,false
7835d002-47c7-5dee-89a7-ce93001c7c8b,ETU,7520207,7520207,Kỹ thuật điện tử - viễn thông,,program_code không có trong course_catalog,,tuyensinh247,339,false
e4fd7a24-a74a-5ed9-a9ee-385ad228f993,ETU,7580101,7580101,Kiến trúc,,program_code không có trong course_catalog,,tuyensinh247,339,false
b6c425cb-7186-50fe-9a37-f4ef867beb5e,ETU,7580201,7580201,Kỹ thuật xây dựng,,program_code không có trong course_catalog,,tuyensinh247,339,false
56c23bbe-cf8e-58d5-9250-6caa8c7c35a1,ETU,7760101,7760101,Công tác xã hội,,program_code không có trong course_catalog,,tuyensinh247,339,false
70190e72-e8f4-54ae-ba1f-0f0c86d38c66,GHA,7510104,7510104,Công nghệ kỹ thuật giao thông,,program_code không có trong course_catalog,,tuyensinh247,330,false
dfa0a200-d045-5818-9461-2c45a616ca43,GHA,7520219,7520219,Hệ thống giao thông thông minh,,program_code không có trong course_catalog,,tuyensinh247,330,false
a48a5769-7b2d-5c62-a542-5184e4653767,GTA,7340101,7340101,Quản trị kinh doanh,,program_code không có trong course_catalog,,tuyensinh247,58,false
648522ed-bf40-5fb8-82e7-51dcac6bfaaa,GTA,7340201,7340201,Tài chính - Ngân hàng,,program_code không có trong course_catalog,,tuyensinh247,58,false
4e627c1b-c33f-59aa-906a-687fe0598896,GTA,7340301VP,7340301VP,Kế toán (học tại cơ sở VP),,program_code không có trong course_catalog,,tuyensinh247,58,false
ada90069-f44a-50d8-93d5-e07825a2d398,GTA,7480102,7480102,Mạng máy tính và truyền thông dữ liệu,,program_code không có trong course_catalog,,tuyensinh247,58,false
60f80126-1533-5f50-9bc7-79e3bb64d0c7,GTA,7510102,7510102,Công nghệ kỹ thuật Công trình xây dựng,,program_code không có trong course_catalog,,tuyensinh247,58,false
7f0e081d-66c2-5bd4-8dac-7ab19979e589,GTA,7510102TN,7510102TN,CNKT Công trình xây dựng (học tại cơ sở TN),,program_code không có trong course_catalog,,tuyensinh247,58,false
17a9c2db-f82e-513c-bf1b-f3d81c73b2b3,GTA,7510102VP,7510102VP,CNKT Công trình xây dựng (học tại cơ sở VP),,program_code không có trong course_catalog,,tuyensinh247,58,false
ecdadb75-656e-5f3a-82d2-b9cc897e78db,GTA,7510104,7510104,Công nghệ kỹ thuật Giao thông,,program_code không có trong course_catalog,,tuyensinh247,58,false
8d5629be-502a-530f-8487-1d25984e8b1b,GTA,7510104TN,7510104TN,CNKT Giao thông (học tại cơ sở TN),,program_code không có trong course_catalog,,tuyensinh247,58,false
a1f0436e-cbff-5920-ad4d-96df2c476bf4,GTA,7510104VP,7510104VP,CNKT Giao thông (học tại cơ sở VP),,program_code không có trong course_catalog,,tuyensinh247,58,false
4df838ab-46b0-5a31-bb54-975b474d500b,GTA,7510201,7510201,Công nghệ kỹ thuật Cơ khí,,program_code không có trong course_catalog,,tuyensinh247,58,false
76428532-5429-509d-8401-b970bdbb7106,GTA,7510205TN,7510205TN,CNKT Ô tô (học tại cơ sở TN),,program_code không có trong course_catalog,,tuyensinh247,58,false
