source_url,page_title,year,table_wp_id,table_dom_id,table_name,institution,institution_url,logo_url,wdt_id,school_type,institution_type,region,province,major_group,national_rank,recognized_quality_rank,teaching_rank,publications_rank,science_tech_innovation_rank,learner_quality_rank,facilities_rank,total_score
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Công đoàn,https://vnur.vn/truong-dai-hoc-cong-doan/,https://vnur.vn/wp-content/uploads/2023/01/46.Cong-Doan.jpg,53,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Thành phố Hà Nội,Đa Ngành,47,62,38,111,53,60,31,51.06
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Đồng Tháp,https://vnur.vn/truong-dai-hoc-dong-thap/,https://vnur.vn/wp-content/uploads/2023/01/69.Dong-Thap.jpg,76,Công lập,Trường Đại học,Đông Nam Bộ,Đồng Tháp,Đa Ngành,48,27,62,66,43,46,141,50.72
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Y Dược TP. Hồ Chí Minh,https://vnur.vn/truong-dai-hoc-y-duoc-tp-hcm/,https://vnur.vn/wp-content/uploads/2023/01/51.Y-duoc-TP.HCM_.jpg,55,Công lập,Trường Đại học,Đông Nam Bộ,Thành phố Hồ Chí Minh,Sức khỏe,49,47,104,14,59,69,6,50.56
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Kinh tế Kỹ thuật công nghiệp,https://vnur.vn/truong-dai-hoc-kinh-te-ky-thuat-cong-nghiep/,https://vnur.vn/wp-content/uploads/2023/01/19.Kinh-te-Ky-thuat-Cong-nghiep.jpg,99,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Ninh Bình,"Kỹ thuật, Công nghệ",50,38,67,74,47,40,99,50.56
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Hải Phòng,https://vnur.vn/truong-dai-hoc-hai-phong/,https://vnur.vn/wp-content/uploads/2023/01/81.Hai-Phong.jpg,59,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Thành phố Hải Phòng,Đa Ngành,51,62,30,114,70,65,112,50.53
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Lạc Hồng,https://vnur.vn/truong-dai-hoc-lac-hong/,https://vnur.vn/wp-content/uploads/2026/01/DH-lac-Hong.png,102,Tư thục,Trường Đại học,Đông Nam Bộ,Đồng Nai,Đa Ngành,52,7,123,79,116,154,93,50.37
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Kiến trúc Hà Nội,https://vnur.vn/truong-dai-hoc-kien-truc-ha-noi/,https://vnur.vn/wp-content/uploads/2023/01/61.Kien-truc-Ha-Noi.jpg,50,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Thành phố Hà Nội,Xây dựng - Kiến trúc,53,62,54,69,51,5,156,50.17
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Y tế Công cộng,https://vnur.vn/truong-dai-hoc-y-te-cong-cong/,https://vnur.vn/wp-content/uploads/2023/01/41.Y-te-Cong-cong.jpg,65,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Thành phố Hà Nội,Sức khỏe,54,58,65,31,67,70,98,50.07
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Điện lực,https://vnur.vn/truong-dai-hoc-dien-luc/,https://vnur.vn/wp-content/uploads/2023/01/25.Dien-luc.jpg,31,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Thành phố Hà Nội,Đa Ngành,55,62,35,51,68,94,146,49.96
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Sài Gòn,https://vnur.vn/truong-dai-hoc-sai-gon/,https://vnur.vn/wp-content/uploads/2023/01/48.Sai-Gon.jpg,43,Công lập,Trường Đại học,Đông Nam Bộ,Thành phố Hồ Chí Minh,Đa Ngành,56,62,41,54,54,45,178,49.90
