code,name,field_code,description
FL02,Chất lượng cao Ngôn ngữ Anh Tài chính - Ngân hàng,,
IB01,Kinh doanh quốc tế,,
IB02,Logistics và quản lý chuỗi cung ứng,,
IB03,Kinh doanh quốc tế Coventry (Cấp song bằng),,
IB04,Chất lượng cao Kinh doanh quốc tế,,
IB05,Chất lượng cao Thương mại điện tử,,
IT01,Công nghệ thông tin,,
LAW01,Luật kinh tế,,
MIS01,Hệ thống thông tin quản lý,,
MIS02,Chất lượng cao Hệ thống thông tin quản lý,,
LAW02,Luật kinh tế,,
BANKK02,Ngân hàng,,
BANKK03,Ngân hàng số,,
HVN01,Thú y,,
HVN02,Chăn nuôi thú y - Thủy sản,,
HVN03,Nông nghiệp và Cảnh quan,,
HVN04,Công nghệ kỹ thuật ô tô và Cơ điện tử,,
HVN05,Kỹ thuật cơ khí,,
HVN06,"Kỹ thuật điện, Điện tử và Tự động hóa",,
HVN07,Logistics và Quản lý chuỗi cung ứng,,
HVN08,"Kế toán, Quản trị kinh doanh và Thương mại",,
HVN09,Công nghệ sinh học và Công nghệ dược liệu,,
HVN10,Công nghệ thực phẩm và Chế biến,,
HVN11,Kinh tế và Quản lý,,
HVN12,Xã hội học,,
HVN13,Luật,,
HVN14,Công nghệ thông tin và Kỹ thuật số,,
HVN15,"Quản lý đất đai, Bất động sản và Môi trường",,
HVN16,Khoa học Môi trường,,
HVN17,Ngôn ngữ Anh,,
HVN18,Sư phạm Công nghệ,,
HVN19,Du lịch,,
7520120,Ngành Kỹ thuật Hàng không (Thí sinh miền Bắc),KY_THUAT,
7860226,"Ngành Chỉ huy Tham mưu Phòng không, Không quân và Tác chiến điện tử (Thí sinh miền Bắc)",,
7860226_B,"Chỉ huy Tham mưu Phòng không, Không quân và Tác chiến điện tử",,
7860226_N,"Chỉ huy Tham mưu Phòng không, Không quân và Tác chiến điện tử",,
7310399,Giới và phát triển,,
7310401,Tâm lý học,,
7810103,Quản trị dịch vụ du lịch và lữ hành,,
7340101TA,Quản trị kinh doanh (chương trình đào tạo bằng tiếng Anh),KINH_TE,
7340101 LC,Quản trị kinh doanh (hệ Chất lượng cao),KINH_TE,
7340101CLC,Quản trị kinh doanh (hệ Chất lượng cao),KINH_TE,
7340101LK,Quản trị kinh doanh (hệ Liên kết Quốc tế chuyên ngành Kinh doanh và Thương mại quốc tế),KINH_TE,
7760101PH,Công tác xã hội,KY_THUAT,
7810103PH,Giới và Phát triển,,
7340102,Quản trị kinh doanh,KINH_TE,
7420201,Công nghệ thông tin,,
7320108,Quan hệ Công chúng,,
7760102,Công tác Thanh thiếu niên,KY_THUAT,
7720201,"Dược học (Thí sinh Nam, miền Bắc)",KY_THUAT,
7720101_Nam_B,Bác sĩ đa khoa,KY_THUAT,
7720101_Nam_N,Bác sĩ đa khoa,KY_THUAT,
7720101_Nu_B,Bác sĩ đa khoa,KY_THUAT,
7720101_Nu_N,Bác sĩ đa khoa,KY_THUAT,
7720110_Nam_B,Y học dự phòng,KY_THUAT,
7720110_Nam_N,Y học dự phòng,KY_THUAT,
7720201_Nam_B,Dược học,KY_THUAT,
7720201_Nam_N,Dược học,KY_THUAT,
7720201_Nu_B,Dược học,KY_THUAT,
7720201_Nu_N,Dược học,KY_THUAT,
7720110,Y học dự phòng,KY_THUAT,
7310104,Kinh tế đầu tư,,
7310104QT12.01,Kinh tế đầu tư (Theo định hướng ACCA),,
7310108,Toán tài chính,,
7340101QT03.01,Quản trị doanh nghiệp (Theo định hướng ICAEW CFAB),KINH_TE,
7340115QT11.02,Digital Marketing (Theo định hướng ICDL),KINH_TE,
7340116,Thẩm định giá và kinh doanh bất động sản,KINH_TE,
7340116QT09.01,Thẩm định giá và kinh doanh bất động sản (Theo định hướng ACCA),KINH_TE,
7340120QT15.01,Kinh doanh quốc tế (Theo định hướng ICAEW CFAB),KINH_TE,
73402011,Tài chính - Ngân hàng 1 (CN Thuế;  Hải quan và Nghiệp vụ ngoại thương;  Tài chính quốc tế,KINH_TE,
73402012,Tài chính - Ngân hàng 2 (CN Tài chính doanh nghiệp; Phân tích tài chính),KINH_TE,
73402013,Tài chính - Ngân hàng 3 (CN Ngân hàng;  Đầu tư tài chính),KINH_TE,
7340201QT01.01,Thuế và Quản trị thuế (Theo định hướng ACCA),KINH_TE,
7340201QT01.06,Hải quan và Logistics (Theo định hướng FIATA),KINH_TE,
7340201QT01.09,Phân tích tài chính (Theo định hướng ICAEW CFAB),KINH_TE,
7340201QT01.11,Tài chính doanh nghiệp (Theo định hướng ACCA),KINH_TE,
7340201QT01.15,Ngân hàng (Theo định hướng ICAEW CFAB),KINH_TE,
7340201QT01.19,Đầu tư tài chính (Theo định hướng ICAEW CFAB),KINH_TE,
7340204,Tài chính bảo hiểm,KINH_TE,
7340301QT02.01,Kế toán doanh nghiệp (Theo định hướng ACCA),KINH_TE,
7340301QT02.02,Kế toán quản trị và Kiểm soát quản lý (Theo định hướng CMA),KINH_TE,
7340301QT02.03,Kế toán công (Theo định hướng ACCA),KINH_TE,
7340302,Kiểm toán,KINH_TE,
7340302QT10.01,Kiểm toán (Theo định hướng ICAEW CFAB),KINH_TE,
7340405,Tin học tài chính kế toán,KINH_TE,
7460108,Khoa học dữ liệu trong tài chính,,
7340115QT11.02PH,Digital Marketing (theo định hướng ICDL),KINH_TE,
7340301QT02.01PH,Kế toán doanh nghiệp (theo định hướng ACCA),KINH_TE,
7340302QT10.01PH,Kiểm toán (theo định hướng ICAEW),KINH_TE,
7340201C06,Hải quan và Logistics (Chất lượng cao),KINH_TE,
7340201C09,Phân tích tài chính (Chất lượng cao),KINH_TE,
7340201C11,Tài chính doanh nghiệp (Chất lượng cao),KINH_TE,
7340301C21,Kế toán doanh nghiệp (Chất lượng cao),KINH_TE,
7340301C22,Kiểm toán (Chất lượng cao),KINH_TE,
7140101,Giáo dục học (GD trẻ rối loạn phát triển),SU_PHAM,
7140114,Quản lý giáo dục,SU_PHAM,
7310403,Tâm lý học giáo dục,,
7340406,Quản trị văn phòng,KINH_TE,
Sư phạm Ngữ văn,QHS06,,
Sư phạm Lịch sử,QHS07,,
Sư phạm Lịch sử - Địa lý,QHS08,,
Giáo dục Mầm non,QHS09,,
Giáo dục Tiểu học,QHS10,,
Khoa học giáo dục và khác,QHS11,,
Sư phạm Toán học,QHS01,,
Sư phạm Vật lí,QHS02,,
Sư phạm Hoá học,QHS03,,
Sư phạm Sinh học,QHS04,,
Sư phạm Khoa học Tự nhiên,QHS05,,
GD1,Sư phạm Toán và Khoa học Tự nhiên,,
GD2,"Sư phạm Ngữ văn, Lịch sử, Lịch sử và Địa lý",,
GD3,Khoa học Giáo dục và Khác,,
GD4,Giáo dục tiểu học,,
GD5,Giáo dục mầm non,,
CN1,Công nghệ thông tin,,
CN10,Công nghệ nông nghiệp,,
CN11,Kỹ thuật điều khiển và tự động hóa,,
CN12,Trí tuệ nhân tạo,,
CN13,Kỹ thuật năng lượng,,
CN14,Hệ thống thông tin,,
CN15,Mạng máy tính và truyền thông dữ liệu,,
CN17,Kỹ thuật Robot,,
CN18,Thiết kế công nghiệp và Đồ họa,,
CN19,Công nghệ vật liệu,,
CN2,Kỹ thuật máy tính,,
CN20,Khoa học dữ liệu,,
CN21,Công nghệ sinh học,,
CN3,Vật lý kỹ thuật,,
CN4,Cơ kỹ thuật,,
CN5,Công nghệ kỹ thuật xây dựng,,
CN6,Công nghệ kỹ thuật cơ điện tử,,
CN7,Công nghệ hàng không vũ trụ,,
CN8,Khoa học máy tính,,
CN9,Công nghệ kỹ thuật điện tử - Viễn thông,,
CN16,Công nghệ thông tin định hướng thị trường Nhật Bản,,
734010101,Ngành Quản trị kinh doanh,KINH_TE,
QHX01,Báo chí,,
QHX02,Chính trị học,,
QHX03,Công tác xã hội,,
QHX04,Điện ảnh và nghệ thuật đại chúng,,
QHX05,Đông Nam Á học,,
QHX06,Đông phương học,,
QHX07,Hán Nôm,,
QHX08,Hàn Quốc học,,
QHX09,Khoa học quản lý,,
QHX10,Lịch sử,,
QHX11,Lưu trữ học,,
QHX12,Ngôn ngữ học,,
QHX13,Nhân học,,
QHX14,Nhật Bản học,,
QHX15,Quan hệ công chúng,,
QHX16,Quản lý thông tin,,
QHX17,Quản trị dịch vụ du lịch và lữ hành,,
QHX18,Quản trị khách sạn,,
QHX19,Quản trị văn phòng,,
QHX20,Quốc tế học,,
QHX21,Tâm lý học,,
QHX22,Thông tin - Thư viện,,
QHX23,Tôn giáo học,,
QHX24,Triết học,,
QHX25,Văn hóa học,,
QHX26,Văn học,,
QHX27,Việt Nam học,,
QHX28,Xã hội học,,
7380101CLC,Luật CLC,LUAT,
7380109,Luật Thương mại quốc tế,LUAT,
7380110,Luật Kinh doanh,LUAT,
QHT01,Toán học,,
QHT02,Toán tin,,
QHT03,Vật lý học,,
QHT04,Khoa học vật liệu,,
QHT05,Công nghệ kỹ thuật hạt nhân,,
QHT06,Hoá học,,
QHT07,Công nghệ kỹ thuật hoá học,,
QHT08,Sinh học,,
QHT09,Công nghệ sinh học,,
QHT10,Địa lý tự nhiên,,
QHT12,Quản lý đất đai,,
QHT13,Khoa học môi trường,,
QHT15,Công nghệ kỹ thuật môi trường,,
QHT16,Khí tượng và khí hậu học,,
QHT17,Hải dương học,,
QHT18,Địa chất học,,
QHT20,Quản lý tài nguyên và môi trường,,
QHT43,Hoá dược,,
QHT81,Sinh dược học,,
QHT82,"Môi trường, sức khỏe và an toàn",,
