id,universityshortname,universitytype,universityprovince,majorcode,internalcode,internalname,fields,isactive
a9e30a9e-9d46-491c-ba4f-591d3373e975,HBT,cônglập,HN,536,,,,True
fbc9a662-61e1-4614-ad88-e158fbd583ef,HBT,cônglập,HN,537,,,,True
501401ca-c078-4717-86bc-5a53c13f613e,HBT,cônglập,HN,608,,,,True
cf68db97-a93d-4081-ba48-8cadce230e57,HBT,cônglập,HN,609,,,,True
57883c11-0552-429a-9d16-960157512a89,HCP,cônglập,HN,7220201,,,,True
f028ae5c-d177-42b4-955b-fab3253d18b0,HCP,cônglập,HN,7310101,,,,True
c449b682-9680-437f-8ede-31cecab6477d,HCP,cônglập,HN,7310105,,,,True
c27dae70-11c8-4dbf-8d35-5bf6b855d00c,HCP,cônglập,HN,7310106,,,,True
6fb997d0-4f07-4486-886e-e3b8f27e4862,HCP,cônglập,HN,73101061,,,,True
b0f0a71b-ca0e-4c86-98e1-fd86695dd6b9,HCP,cônglập,HN,73101062,,,,True
34126679-1bd5-4a0f-9c85-c17530184e49,HCP,cônglập,HN,7310109,,,,True
791ead28-0a80-4b59-969b-652e6df54e1d,HCP,cônglập,HN,7310205,,,,True
5e5ec04e-d1d1-46d5-99b3-ff3e0dc36ec7,HCP,cônglập,HN,7310206,,,,True
651786ad-5100-4aca-998b-e59c47fc72bf,HCP,cônglập,HN,7340101,,,,True
d3bda3cd-7876-46a2-a090-c9b8d79f0480,HCP,cônglập,HN,73401011,,,,True
e7256955-1f4a-4610-afe2-812470f574fe,HCP,cônglập,HN,73401152,,,,True
6daa1b92-3048-4c47-8306-a45b25e5e9ad,HCP,cônglập,HN,73402011,,,,True
04096776-e043-456d-95dc-bc5321a0e19d,HCP,cônglập,HN,73402012,,,,True
907f9dee-83ba-44ad-842b-6360d5181287,HCP,cônglập,HN,7340301,,,,True
8d5a9947-e265-4b99-afe2-2e32730cf535,HCP,cônglập,HN,7380107,,,,True
c0d13921-b3a2-4233-a4d2-f4ffb4220d37,HCP,cônglập,HN,7340201,,,,True
71d82c03-ae98-49cc-846a-db083181a5af,HCP,cônglập,HN,7310106CLC,,,,True
280855da-44f5-4f03-b073-7b4de9281b43,HCP,cônglập,HN,7340201CLC,,,,True
ebe8756a-0812-4a17-9d7a-4ae32f779937,HEH,quânsự,HN,7860218,,,,True
7fce1ab6-7340-434c-a869-f0ab2bbe5bbb,HEH,quânsự,HN,7860218NamBA00,,,,True
84628ad5-2a0e-4f8f-a0f5-f4495bdb87c3,HEH,quânsự,HN,7860218NamBA01,,,,True
a0a1fedf-0c88-45c3-9dcd-93bc6420c4de,HEH,quânsự,HN,7860218NamNA00,,,,True
d4def0e2-65e7-4209-bbbf-1866099a37f2,HEH,quânsự,HN,7860218NamNA01,,,,True
d2a72611-3632-4fb2-92c2-ed13a38deaca,HEH,quânsự,HN,7860218NuBA00,,,,True
6895ee18-8390-448d-a536-55cf57b50cd6,HEH,quânsự,HN,7860218NuBA01,,,,True
ec6240ec-2110-422e-92ec-d1f7c92cb7a9,HEH,quânsự,HN,7860218NuNA00,,,,True
79798390-fa9a-4843-8577-71461a85d96d,HEH,quânsự,HN,7860218NuNA01,,,,True
ada7bb58-6e84-44c1-8235-b3c33645459c,KMA,cônglập,HN,7480201KMA,,,,True
a28969eb-e3ff-4286-a21f-55d31903f6a8,KMA,cônglập,HN,7480202KMA,,,,True
7c216f3f-a29d-4bef-b5e8-8baecd505d35,KMA,cônglập,HN,7480202KMP,,,,True
d463d184-76c8-43ca-87d4-f63ed0092089,KMA,cônglập,HN,7520207,,,,True
9d066b5d-18f1-4911-9fc6-d5c6ee641a6a,NQH,quânsự,HN,7220201,,,,True
da6b6ac5-fdf8-4067-a5fe-7724f3d31738,NQH,quânsự,HN,7220202,,,,True
ec531024-db4e-4af4-9054-86c1495c3c55,NQH,quânsự,HN,7220204,,,,True
edcff278-f756-4454-ba81-820b23187721,NQH,quânsự,HN,7310206,,,,True
31d7cb56-9f9b-4dae-a6b7-fbb2965dbe9d,NQH,quânsự,HN,7860231,,,,True
2d5029a0-54fa-4937-a269-5e1a490a7a36,KQH,quânsự,HN,QS,,,,True
5e54885a-a3c9-470f-9c7b-68226e4e0461,KQH,quânsự,HN,7860220NamB,,,,True
f0bedc2d-b93f-4e2b-a746-6695321127c0,KQH,quânsự,HN,7860220NamN,,,,True
1e9e44d4-58ca-40cd-9a6c-25a55198845f,KQH,quânsự,HN,7860220NuB,,,,True
326d8290-9ceb-4c00-a53f-6b2b5383b620,KQH,quânsự,HN,7860220NuN,,,,True
13d2e77a-baf4-4cea-b0e7-5b5b9a8be906,KQH,quânsự,HN,7860220,,,,True
64df5df0-8d75-4328-aeb3-42c30b1efb0e,BVH,cônglập,HN,7320101,,,,True
6234a37c-5bc3-4afb-9522-6e90fb8ce6e5,BVH,cônglập,HN,7320104,,,,True
4d5ad856-8d67-4c6c-91d4-b92639b91e78,BVH,cônglập,HN,7320104CLC,,,,True
69ba22df-113e-4a69-8493-b60e1b4aa46d,BVH,cônglập,HN,7329001,,,,True
a974b184-30c5-4152-87b8-34b1f440d0b4,BVH,cônglập,HN,7329001GAM,,,,True
0a8bdc42-e05f-41e5-8adf-41b07be25757,BVH,cônglập,HN,7340101,,,,True
4064fd8c-8617-4f73-8f4a-20d08d27becc,BVH,cônglập,HN,7340101LOG,,,,True
d3e560c7-541a-4f82-b6d1-72a69223413a,BVH,cônglập,HN,7340115,,,,True
906332f8-cb5b-4c38-a84c-43e324b57047,BVH,cônglập,HN,7340115CLC,,,,True
803ffe51-7996-4440-9d55-a485ef2f6559,BVH,cônglập,HN,7340115QHC,,,,True
95e0a351-3ed4-4aef-bbc3-0c5c863cd5b0,BVH,cônglập,HN,7340122,,,,True
8c063aba-2dea-4557-b50b-4352d67cf8d4,BVH,cônglập,HN,7340205,,,,True
77f4032a-9910-4c78-a33b-71d334f930bd,BVH,cônglập,HN,7340301,,,,True
507e1f8a-fafc-4e62-b257-02ea72f8099f,BVH,cônglập,HN,7340301CLC,,,,True
8b6cfa2a-6a4b-4240-9413-88e9244c5f07,BVH,cônglập,HN,7480101,,,,True
11209caa-b324-420d-8ca0-c8950da1c32f,BVH,cônglập,HN,7480102,,,,True
1b7efdbc-436e-4436-a5bf-edbd02663c6e,BVH,cônglập,HN,7480107,,,,True
244bd76b-25b8-4e4d-97b9-7f789389626b,BVH,cônglập,HN,7480201,,,,True
a4d1502a-490a-4484-8281-aed8955470bf,BVH,cônglập,HN,7480201CLC,,,,True
94530977-89bb-450f-864f-96f2805ea98f,BVH,cônglập,HN,7480201UDU,,,,True
387bbb3d-8386-4298-9c97-b6b972097a60,BVH,cônglập,HN,7480201VNH,,,,True
364a0a23-93ab-42a8-a440-dd8c248ed0f7,BVH,cônglập,HN,7480202,,,,True
d39c046c-c309-41de-a456-fbb1f9e8dc88,BVH,cônglập,HN,7480202CLC,,,,True
a7ea3281-1ad9-485d-b321-626578a3f49f,BVH,cônglập,HN,7510301,,,,True
6622bb0e-fab1-44da-9c43-aa6ae115c3ba,BVH,cônglập,HN,7510301MBD,,,,True
43ef7128-277f-4c06-b48c-bed1527f73b1,BVH,cônglập,HN,7520207,,,,True
e0e46ebe-8623-4e72-87bf-dbf69ed95a1b,BVH,cônglập,HN,7520207AIoT,,,,True
127ddb19-0600-42d8-881b-93b303d1209c,BVH,cônglập,HN,7520216,,,,True
befc7489-e941-4716-a744-192c43e22d0c,BVH,cônglập,HN,7480201 CLC,CLC,,,True
250c49f8-535d-4dc6-a84d-c1b7fd9a8fe0,BVH,cônglập,HN,7480201 UDU,,,,True
3a18d7c3-cf79-43a2-af9b-c3574e86be32,BVH,cônglập,HN,7329001LK,,,,True
1ab40526-cb4f-4c74-b7ce-145c37020bf2,BVH,cônglập,HN,7340205LK,,,,True
dcd51d77-aef1-4cef-bb8b-41d1d1f44a36,BVH,cônglập,HN,7480201LK,,,,True
9a3c2f4d-93ef-4418-be66-3b9c6f1f6657,HQT,cônglập,HN,HQT01,,,,True
6d15e0e2-b1bf-4010-a1ef-a4b191eb5197,HQT,cônglập,HN,HQT02,,,,True
4dee6094-6156-496b-8b43-a1d929a3fb6e,HQT,cônglập,HN,HQT03,,,,True
632e63fb-9312-4de6-9249-c9cd25a8afcc,HQT,cônglập,HN,HQT04,,,,True
d2021c86-1c7a-4dcf-8293-fc54cad0bdb5,HQT,cônglập,HN,HQT05,,,,True
64afdcec-1ecf-4548-81f8-42c3eb9195ee,HQT,cônglập,HN,HQT06,,,,True
bc53f0e1-8c5d-4afb-994a-78dfc64dfaab,HQT,cônglập,HN,HQT07,,,,True
f993ff89-e58c-4451-a2d7-03f91f28b371,HQT,cônglập,HN,HQT08-01,,,,True
de2ff43c-6b25-42d6-b4e0-4d2284488e61,HQT,cônglập,HN,HQT08-02,,,,True
61b7db00-4e34-48a9-9cce-7222fba34371,HQT,cônglập,HN,HQT08-03,,,,True
e4334478-9e0e-4c57-a070-706297c7d69d,HQT,cônglập,HN,HQT08-04,,,,True
c81d9d64-ceac-43cf-bc0c-cbc4d545799b,NHH,cônglập,HN,ACT01,,,,True
d65e2458-9de1-4f83-bf35-9b7cd1251a40,NHH,cônglập,HN,ACT02,,,,True
aa52c8c4-07ad-43b9-bc35-b520bf19ce1c,NHH,cônglập,HN,ACT03,,,,True
65684f4f-f8fc-408e-a985-1ed6d7292fed,NHH,cônglập,HN,ACT04,,,,True
9891b1b9-174f-4b2d-9d76-7eba5255a98a,NHH,cônglập,HN,BANK01,,,,True
ffe94c53-9de8-43c0-81be-f07788aa7c84,NHH,cônglập,HN,BANK02,,,,True
6cb6f26a-2a48-48ed-bfd7-d19b2e3be0c1,NHH,cônglập,HN,BANK03,,,,True
7933c49e-84d0-49df-b09b-dfb679250974,NHH,cônglập,HN,BANK04,,,,True
dcf9c9ea-41c3-4a2d-a3b9-4ca35d22ed37,NHH,cônglập,HN,BANK05,,,,True
c5b48791-4a56-4a60-af29-db9b1aaea76b,NHH,cônglập,HN,BANK06,,,,True
7df5b4a0-5bf7-4ebc-98a3-15a2942f4651,NHH,cônglập,HN,BANK07,,,,True
2a259556-45ee-4c80-8fbb-f9992a6cd08b,NHH,cônglập,HN,BUS01,,,,True
bc0b9e78-38ad-45ca-9bdf-523cf2568aa0,NHH,cônglập,HN,BUS02,,,,True
be839003-926a-486a-a481-a1557fff9cc6,NHH,cônglập,HN,BUS03,,,,True
4aa55880-1c93-43fe-a78c-ec5df1497a22,NHH,cônglập,HN,BUS04,,,,True
a1ca7620-2ed6-4c42-b9c7-dc6485b92b8b,NHH,cônglập,HN,BUS05,,,,True
0eb195c1-728c-4844-8359-8a2dacf5f961,NHH,cônglập,HN,BUS06,,,,True
83b94594-b0e7-4143-a566-d546ca8080bd,NHH,cônglập,HN,BUS07,,,,True
121138e2-9f60-4940-bb07-543e046358a9,NHH,cônglập,HN,DS01,,,,True
c85e4d10-2551-4a1e-861a-a197871a9538,NHH,cônglập,HN,ECON01,,,,True
89a5fd8f-d986-470f-a5c9-6d5e58034a96,NHH,cônglập,HN,ECON02,,,,True
07c06d17-9994-476a-a9bb-4e2a520ed844,NHH,cônglập,HN,FIN01,,,,True
621cb705-a918-4f85-8bcb-b0cf7abbe4b3,NHH,cônglập,HN,FIN02,,,,True
6fa6e3c2-db38-4508-a736-5b45fbbeb976,NHH,cônglập,HN,FIN03,,,,True
26a25b2d-9c82-472b-af53-3d3412e9a643,NHH,cônglập,HN,FIN04,,,,True
166e06e0-29c6-45ad-93dd-f6e8f43f438e,NHH,cônglập,HN,FL01,,,,True
60f09f33-dd5c-4123-aab7-fb59e435bcab,NHH,cônglập,HN,FL02,,,,True
9dd6bd7e-25b4-4fc8-a67c-77ca8c4d38f7,NHH,cônglập,HN,IB01,,,,True
227fa2c2-df5a-4a12-9367-821de1b45e3c,NHH,cônglập,HN,IB02,,,,True
18d98cd3-6754-4287-a05a-b74ad555d4f4,NHH,cônglập,HN,IB03,,,,True
d8f7b177-b831-4d10-861d-234db852f804,NHH,cônglập,HN,IB04,,,,True
7d7ba35a-5e8f-4413-b88c-4b470ec0bcf5,NHH,cônglập,HN,IB05,,,,True
b351220c-049d-4188-9933-fe96bd1dc75a,NHH,cônglập,HN,IT01,,,,True
5f070681-d882-43c1-8666-f3c4c535102b,NHH,cônglập,HN,LAW01,,,,True
b4118d61-3281-4581-92a0-a11a80b43212,NHH,cônglập,HN,MIS01,,,,True
9765adc0-af7f-4831-a6f1-100c3a2c6441,NHH,cônglập,HN,MIS02,,,,True
81a0e9c3-69f7-410b-85dc-f6869013ceb9,NHH,cônglập,HN,LAW02,,,,True
d2f3a8c2-7c90-474d-8ab9-8e4d4a592a58,NHH,cônglập,HN,BANKK02,,,,True
14dfa87a-ebec-4928-ad96-9fd45c04470b,NHH,cônglập,HN,BANKK03,,,,True
3fad517f-8661-4723-ae0d-2ec232d95f0c,HVN,cônglập,HN,HVN01,,,,True
46f45bbd-03c5-4907-a11d-676b8202768e,HVN,cônglập,HN,HVN02,,,,True
0412c886-6d0a-4ff5-8bb8-a9e89fe54aea,HVN,cônglập,HN,HVN03,,,,True
3f75ff82-74c0-4c07-94fd-7788c95a71f8,HVN,cônglập,HN,HVN04,,,,True
1a7c19f2-4a35-4516-bcf1-993774d52d4c,HVN,cônglập,HN,HVN05,,,,True
81dbd23c-c1df-40c9-b581-6a43f457739f,HVN,cônglập,HN,HVN06,,,,True
821ee764-08d7-4f7c-a1c5-e543c59e5605,HVN,cônglập,HN,HVN07,,,,True
c17b452f-e743-4b1d-b116-0c8d7f59b07f,HVN,cônglập,HN,HVN08,,,,True
a7c3da16-286f-4b38-bbc9-bff059aa2e7a,HVN,cônglập,HN,HVN09,,,,True
c0c21860-af10-4cf0-8936-77397ce886b4,HVN,cônglập,HN,HVN10,,,,True
33f16dba-198e-4059-a409-0a58a27c5e4e,HVN,cônglập,HN,HVN11,,,,True
2abaae69-76d8-43cd-b252-fdea5ba6259c,HVN,cônglập,HN,HVN12,,,,True
1e7ac57e-6192-48e6-9fcc-08caf1c7da97,HVN,cônglập,HN,HVN13,,,,True
0b935143-086b-4655-9631-191befe8c20c,HVN,cônglập,HN,HVN14,,,,True
afaf2c20-186d-4336-a772-616e1c3063be,HVN,cônglập,HN,HVN15,,,,True
126fb258-c79c-4e39-8089-14c8f12b81ad,HVN,cônglập,HN,HVN16,,,,True
