university_program_id,subject_group_code
1791793f-56cd-53fa-a384-fa950cc7b46a,X02
1791793f-56cd-53fa-a384-fa950cc7b46a,X03
1791793f-56cd-53fa-a384-fa950cc7b46a,X04
17292546-3f48-5f65-8034-b90a76f42df4,X02
17292546-3f48-5f65-8034-b90a76f42df4,X03
17292546-3f48-5f65-8034-b90a76f42df4,X04
40c7c556-8058-5497-963e-106de7826a82,X02
40c7c556-8058-5497-963e-106de7826a82,X03
40c7c556-8058-5497-963e-106de7826a82,X04
35739d76-7b9f-50b1-9dec-1146e80ecb53,X02
35739d76-7b9f-50b1-9dec-1146e80ecb53,X03
35739d76-7b9f-50b1-9dec-1146e80ecb53,X04
77a27e8f-45e8-5b5f-877d-523baf507871,X26
77a27e8f-45e8-5b5f-877d-523baf507871,X27
77a27e8f-45e8-5b5f-877d-523baf507871,X28
bd5945c9-74af-5ff3-9d79-defd673415d2,X26
bd5945c9-74af-5ff3-9d79-defd673415d2,X27
bd5945c9-74af-5ff3-9d79-defd673415d2,X28
33bfb6e7-a52e-53c0-8b13-205db03fb959,X26
33bfb6e7-a52e-53c0-8b13-205db03fb959,X27
33bfb6e7-a52e-53c0-8b13-205db03fb959,X28
1540952d-cbbc-5d8d-bea3-9331fa3c2c75,X26
1540952d-cbbc-5d8d-bea3-9331fa3c2c75,X27
1540952d-cbbc-5d8d-bea3-9331fa3c2c75,X28
e3bf8b85-0cec-570a-8608-5212214b8624,C15
e3bf8b85-0cec-570a-8608-5212214b8624,D01
e3bf8b85-0cec-570a-8608-5212214b8624,R22
e3bf8b85-0cec-570a-8608-5212214b8624,A16
437c66f9-e9b1-5eaa-b998-20dfac264593,A16
437c66f9-e9b1-5eaa-b998-20dfac264593,D01
437c66f9-e9b1-5eaa-b998-20dfac264593,R22
437c66f9-e9b1-5eaa-b998-20dfac264593,C15
dbe6e35c-3f8b-5add-b507-d070f104051b,A16
dbe6e35c-3f8b-5add-b507-d070f104051b,C15
dbe6e35c-3f8b-5add-b507-d070f104051b,D01
dbe6e35c-3f8b-5add-b507-d070f104051b,R22
8a63d0a0-9114-5a9f-98ec-502b18e9a73d,C15
8a63d0a0-9114-5a9f-98ec-502b18e9a73d,D01
8a63d0a0-9114-5a9f-98ec-502b18e9a73d,R22
8a63d0a0-9114-5a9f-98ec-502b18e9a73d,A16
019d6d39-bd9a-5ebb-afb0-03a297c06fd9,A16
019d6d39-bd9a-5ebb-afb0-03a297c06fd9,C15
019d6d39-bd9a-5ebb-afb0-03a297c06fd9,D01
019d6d39-bd9a-5ebb-afb0-03a297c06fd9,R22
d6e690ba-6483-5bbb-8d3e-679b56636503,A16
d6e690ba-6483-5bbb-8d3e-679b56636503,C15
d6e690ba-6483-5bbb-8d3e-679b56636503,D01
d6e690ba-6483-5bbb-8d3e-679b56636503,R22
dd637640-fc06-5d7b-aeff-dbe486630c8a,A16
dd637640-fc06-5d7b-aeff-dbe486630c8a,C15
dd637640-fc06-5d7b-aeff-dbe486630c8a,D01
dd637640-fc06-5d7b-aeff-dbe486630c8a,R22
737937ba-7b56-5c68-b698-f3bed798d4b9,A16
737937ba-7b56-5c68-b698-f3bed798d4b9,C15
737937ba-7b56-5c68-b698-f3bed798d4b9,D01
737937ba-7b56-5c68-b698-f3bed798d4b9,R22
21b3fdd9-9582-5b3b-a01f-7d429cceb739,A16
21b3fdd9-9582-5b3b-a01f-7d429cceb739,C15
21b3fdd9-9582-5b3b-a01f-7d429cceb739,D01
21b3fdd9-9582-5b3b-a01f-7d429cceb739,R22
dc46cd59-034a-510e-83a0-36a38197b9ca,A16
dc46cd59-034a-510e-83a0-36a38197b9ca,C15
dc46cd59-034a-510e-83a0-36a38197b9ca,D01
dc46cd59-034a-510e-83a0-36a38197b9ca,R22
5a2b1f95-423b-5533-835d-c33fc1ab0745,A16
5a2b1f95-423b-5533-835d-c33fc1ab0745,C15
5a2b1f95-423b-5533-835d-c33fc1ab0745,D01
5a2b1f95-423b-5533-835d-c33fc1ab0745,R22
31fa85a8-037b-5702-b712-671946de1d4f,A16
31fa85a8-037b-5702-b712-671946de1d4f,C15
31fa85a8-037b-5702-b712-671946de1d4f,D01
31fa85a8-037b-5702-b712-671946de1d4f,R22
a4f35242-51bf-5e18-ac94-13e75534d59b,A16
a4f35242-51bf-5e18-ac94-13e75534d59b,C15
a4f35242-51bf-5e18-ac94-13e75534d59b,D01
a4f35242-51bf-5e18-ac94-13e75534d59b,R22
eefbc6d9-bde9-56d6-b233-1b83b2bc54fe,R05
eefbc6d9-bde9-56d6-b233-1b83b2bc54fe,R06
eefbc6d9-bde9-56d6-b233-1b83b2bc54fe,R15
eefbc6d9-bde9-56d6-b233-1b83b2bc54fe,R19
eefbc6d9-bde9-56d6-b233-1b83b2bc54fe,R16
557b1dad-0ef2-5ad2-b07d-ff1a8bca7c16,R09
557b1dad-0ef2-5ad2-b07d-ff1a8bca7c16,R17
557b1dad-0ef2-5ad2-b07d-ff1a8bca7c16,R07
557b1dad-0ef2-5ad2-b07d-ff1a8bca7c16,R20
557b1dad-0ef2-5ad2-b07d-ff1a8bca7c16,R08
1a8f44e3-9cfe-5f78-9fdc-191d3214227b,R15
1a8f44e3-9cfe-5f78-9fdc-191d3214227b,R19
1a8f44e3-9cfe-5f78-9fdc-191d3214227b,R16
1a8f44e3-9cfe-5f78-9fdc-191d3214227b,R05
1a8f44e3-9cfe-5f78-9fdc-191d3214227b,R06
fa61e0b1-8fb6-58c9-819b-34328df97930,R05
fa61e0b1-8fb6-58c9-819b-34328df97930,R06
fa61e0b1-8fb6-58c9-819b-34328df97930,R15
fa61e0b1-8fb6-58c9-819b-34328df97930,R19
fa61e0b1-8fb6-58c9-819b-34328df97930,R16
5b9b63bc-4fa9-55ce-94c8-f5d79a6ade57,R11
5b9b63bc-4fa9-55ce-94c8-f5d79a6ade57,R12
5b9b63bc-4fa9-55ce-94c8-f5d79a6ade57,R13
