id,university_short_name,major_code,program_source_code,program_name,source,source_school_id,is_active
8a15cf55-498c-5935-80a1-1cbca92fbbfe,BKA,CH3,CH3,Kỹ thuật In,tuyensinh247,302,true
c3b4aba8-fe15-56b3-a5e4-6c90538851b5,BKA,CH3x,CH3x,Kỹ thuật in,tuyensinh247,302,true
6f151169-56a3-58d5-9226-df05fcda7ce4,BKA,CH3y,CH3y,Kỹ thuật in,tuyensinh247,302,true
86c69125-926a-5a4c-b7f8-643c1d9e3be3,BKA,ED2,ED2,Công nghệ Giáo dục,tuyensinh247,302,true
1be5cfb0-bce7-5010-86c6-fc1be6f001a6,BKA,ED2x,ED2x,Công nghệ giáo dục,tuyensinh247,302,true
aa1dd761-0dc2-5fe0-a6dc-042632c2292f,BKA,ED2y,ED2y,Công nghệ giáo dục,tuyensinh247,302,true
2c2d1f8a-77cc-51f9-bc8f-be2accc5a169,BKA,ED3,ED3,Quản lý giáo dục,tuyensinh247,302,true
b077c2b6-8be9-5b7e-a026-4c055e6abc9c,BKA,EE-E18,EE-E18,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),tuyensinh247,302,true
dc072043-005d-5b64-a75e-83659fdb36a8,BKA,EE-E18x,EE-E18x,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),tuyensinh247,302,true
f5f0622d-c174-598f-a8cc-c2ce3c55463a,BKA,EE-E18y,EE-E18y,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),tuyensinh247,302,true
4f27a172-e609-5803-803d-4c0dcfd2adf8,BKA,EE-E8,EE-E8,Kỹ thuật Điều khiển - Tự động hoá (CT tiên tiến),tuyensinh247,302,true
7a0e9217-bd0f-5a54-b9d5-5ad2c7d6ee22,BKA,EE-E8x,EE-E8x,Kỹ thuật Điều khiển - Tự động hoá (CT tiên tiến),tuyensinh247,302,true
503ad278-66e1-52c1-997c-48a7393cbc21,BKA,EE-E8y,EE-E8y,Kỹ thuật Điều khiển - Tự động hoá (CT tiên tiến),tuyensinh247,302,true
eac617d3-cd33-5ead-b611-1d0b0417c54e,BKA,EE-EP,EE-EP,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),tuyensinh247,302,true
635ac80e-d2a2-5e48-8e86-b5f3ef903358,BKA,EE-Epx,EE-Epx,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),tuyensinh247,302,true
5ec41538-de10-5b8a-89c3-f84b8a906d7a,BKA,EE-Epy,EE-Epy,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),tuyensinh247,302,true
8cca808e-8b2d-5b17-a358-3f02f0cb9cd4,BKA,EE1,EE1,Kỹ thuật Điện,tuyensinh247,302,true
4c828cf2-5615-552e-8306-986b60e0e3d4,BKA,EE1x,EE1x,Kỹ thuật Điện,tuyensinh247,302,true
4084f252-fd19-54d9-8bcb-3272d76c07a2,BKA,EE1y,EE1y,Kỹ thuật Điện,tuyensinh247,302,true
f4ac0426-4dec-5365-aaea-3860e0f4c987,BKA,EE2,EE2,Kỹ thuật Điều khiển - Tự động hoá,tuyensinh247,302,true
287d7f67-9a5c-533e-9919-cab8b8099b40,BKA,EE2X,EE2X,Kỹ thuật Điều khiển - Tự động hoá,tuyensinh247,302,true
4c529156-f02a-5284-a227-dc0f316a11c0,BKA,EE2y,EE2y,Kỹ thuật Điều khiển - Tự động hoá,tuyensinh247,302,true
55bd8c3d-a7ac-54e6-9744-24263e87e0b2,BKA,EM-E13,EM-E13,Phân tích kinh doanh (CT tiên tiến),tuyensinh247,302,true
e8350870-858f-540c-bef1-212cf57d0311,BKA,EM-E13x,EM-E13x,Phân tích kinh doanh (CT tiên tiến),tuyensinh247,302,true
289912c6-2f4f-5ebd-92ed-cfbc29d84372,BKA,EM-E13y,EM-E13y,Phân tích kinh doanh (CT tiên tiến),tuyensinh247,302,true
b15a4b01-6577-5105-a08e-e01e4444ba37,BKA,EM-E14,EM-E14,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),tuyensinh247,302,true
c9b1190c-28dc-5f6b-a875-8723cde3a245,BKA,EM-E14x,EM-E14x,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),tuyensinh247,302,true
35c73e2b-ca98-5984-8787-4c76899ee674,BKA,EM-E14y,EM-E14y,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),tuyensinh247,302,true
dd18edfd-b78c-5d43-9d32-0c161d04b36d,BKA,EM1,EM1,Quản lý năng lượng,tuyensinh247,302,true
8d348a61-5dbd-5ad0-9499-bc60e5e280d6,BKA,EM1x,EM1x,Kinh tế công nghiệp,tuyensinh247,302,true
47ad5d81-d9c1-5106-9aa5-90335551f726,BKA,EM1y,EM1y,Kinh tế công nghiệp,tuyensinh247,302,true
14f40c67-150b-5621-ab96-4b8f3f8f3d0e,BKA,EM2,EM2,Quản lý Công nghiệp,tuyensinh247,302,true
ed424a82-d602-5021-9d8b-3a9869fc9d81,BKA,EM2x,EM2x,Quản lý công nghiệp,tuyensinh247,302,true
4abfe38c-32d3-50c2-9209-121c0c547833,BKA,EM2y,EM2y,Quản lý công nghiệp,tuyensinh247,302,true
80cd47b7-cea3-5814-aabb-6776a8b76b15,BKA,EM3,EM3,Quản trị Kinh doanh,tuyensinh247,302,true
ec318003-b8c5-513e-899b-e21044893ead,BKA,EM3x,EM3x,Quản trị kinh doanh,tuyensinh247,302,true
1e6868d0-193c-5cc8-a4eb-bf58117e2e74,BKA,EM3y,EM3y,Quản trị kinh doanh,tuyensinh247,302,true
9df6c3c9-6c71-56fb-9c4c-2fa844c5dbdc,BKA,EM4,EM4,Kế toán,tuyensinh247,302,true
1dbf9300-e672-5df3-9e7b-9f80592928ff,BKA,EM4x,EM4x,Kế toán,tuyensinh247,302,true
cc2edd99-b483-5a81-9bf0-1700cb02aca4,BKA,EM4y,EM4y,Kế toán,tuyensinh247,302,true
dec2e16a-7a7f-5f69-b837-e604c604091e,BKA,EM5,EM5,Tài chính - Ngân hàng,tuyensinh247,302,true
6085ed58-987e-5217-a795-9ae3f00109fe,BKA,EM5x,EM5x,Tài chính - Ngân hàng,tuyensinh247,302,true
