code,name,field_code,description
7520216,Kỹ thuật điều khiển và tự động hóa,ky_thuat,
7520218,Trí tuệ nhân tạo,ky_thuat,
7520219,Hệ thống giao thông thông minh,ky_thuat,
7520301,Kỹ thuật hoá học,ky_thuat,
7520309,Kỹ thuật vật liệu,ky_thuat,
7520320,Kỹ thuật Môi trường,ky_thuat,
7520401,Công nghệ vi mạch bán dẫn,ky_thuat,
7520501,Kỹ thuật địa chất,ky_thuat,
7520502,Kỹ thuật địa vật lý,ky_thuat,
7520503,Kỹ thuật trắc địa - bản đồ,ky_thuat,
7520505,Đá quý Đá mỹ nghệ,ky_thuat,
7520601,Kỹ thuật mỏ,ky_thuat,
7520604,Kỹ thuật dầu khí,ky_thuat,
7520605,Kỹ thuật khí thiên nhiên,ky_thuat,
7520606,Công nghệ số trong thăm dò và khai thác tài nguyên thiên nhiên,ky_thuat,
7520607,Kỹ thuật tuyển khoáng,ky_thuat,
7540101,Công nghệ thực phẩm,san_xuat_che_bien,
7540106,ĐBCL & An toàn thực phẩm,san_xuat_che_bien,
7540202,"Công nghệ sợi, dệt",san_xuat_che_bien,
7540203,Công nghệ vật liệu dệt may,san_xuat_che_bien,
7540204,Công nghệ may,san_xuat_che_bien,
7540209,Công nghệ may,san_xuat_che_bien,
7549001,"Công nghệ chế biến lâm sản (Công nghệ gỗ và quản trị sản xuất, Kỹ nghệ gỗ và nội thất, Thiết kế và kỹ thuật đồ gỗ nội thất)",san_xuat_che_bien,
7580101,Kiến trúc,xay_dung,
7580102,Kiến trúc cảnh quan,xay_dung,
7580103,Kiến trúc nội thất,xay_dung,
7580105,Quy hoạch vùng và đô thị,xay_dung,
7580106,Quản lý đô thị và công trình,xay_dung,
7580108,Ngành Thiết kế Nội thất,xay_dung,
7580109,Quản lý phát triển đô thị và bất động sản,xay_dung,
7580201,Kỹ thuật xây dựng,xay_dung,
7580202,Kỹ thuật xây dựng công trình thủy,xay_dung,
7580204,Xây dựng công trình ngầm thành phố và Hệ thống tàu điện ngầm,xay_dung,
7580205,Kỹ thuật xây dựng công trình giao thông,xay_dung,
7580210,Kỹ thuật hạ tầng đô thị (Chuyên ngành thuộc ngành Kỹ thuật cơ sớ hạ tầng),xay_dung,
7580211,Địa kỹ thuật xây dựng,xay_dung,
7580212,Kỹ thuật tài nguyên nước,xay_dung,
7580213,Kỹ thuật cấp thoát nước,xay_dung,
7580215,Kỹ thuật an toàn giao thông,xay_dung,
7580301,Kinh tế xây dựng,xay_dung,
7580302,Quản lý xây dựng,xay_dung,
75I0406PH,Công nghệ kỹ thuật môi trường,moi_truong,
7620105,Chăn nuôi,nong_lam,
7620110,"Khoa học cây trồng (Nông nghiệp công nghệ cao, Khuyến nông và phát triển nông thôn)",nong_lam,
7620114,Kinh doanh nông nghiệp,nong_lam,
7620115,Kinh tế nông nghiệp,nong_lam,
7620201,Lâm học,nong_lam,
7620202,Lâm nghiệp,nong_lam,
7620205,Lâm sinh (Công nghệ viễn thám và GIS; Quản lý phát thải cacbon; Lâm sinh),nong_lam,
7620210,Lâm nghiệp,nong_lam,
7620211,Quản lý tài nguyên rừng (Kiểm lâm),nong_lam,
7640101,Thú y,thu_y,
7720101,Y khoa,y_te,
7720110,Y học dự phòng,y_te,
7720115,Y học cổ truyền,y_te,
7720201,Dược học,y_te,
7720203,Hóa dược,y_te,
7720301,Điều dưỡng Chương trình tiên tiến (*),y_te,
7720302,Hộ sinh,y_te,
7720401,Dinh dưỡng,y_te,
7720501,Răng-Hàm-Mặt,y_te,
7720502,Kĩ thuật phục hình răng,y_te,
7720601,Kỹ thuật xét nghiệm y học,y_te,
7720602,Kĩ thuật hình ảnh y học (**),y_te,
7720603,Kỹ thuật phục hồi chức năng,y_te,
7720609,Khúc xạ nhãn khoa,y_te,
7720699,Khúc xạ nhãn khoa,y_te,
7720701,Y tế công cộng,y_te,
7760101,Công tác xã hội,xa_hoi,
7760102,Công tác Thanh thiếu niên,xa_hoi,
7760103,Hỗ trợ giáo dục người khuyết tật,xa_hoi,
7810101,Du lịch,du_lich,
7810103,Quản trị dịch vụ du lịch và lữ hành,du_lich,
7810105,Du lịch địa chất,du_lich,
7810201,Quản trị khách sạn,du_lich,
7810202,Quản trị nhà hàng và dịch vụ ăn uống,du_lich,
7810301,Quản lý thể dục thể thao,du_lich,
7810302,Huấn luyện thể thao,du_lich,
7840101,"Khai thác vận tải (Chuyên ngành: Vận tải - Thương mại quốc tế, Quy hoạch và quản lý GTVT đô thị, Vận tải - Kinh tế đường bộ và thành phố, Vận tải đường sắt)",van_tai,
7840104,"Kinh tế vận tải (Chuyên ngành: Kinh tế vận tải ô tô, Kinh tế vận tải hàng không, Kinh tế vận tải đường sắt, Kinh tế vận tải thuỷ bộ)",van_tai,
7850101,Quản lý tài nguyên và môi trường,moi_truong,
7850102,Kinh tế tài nguyên thiên nhiên,moi_truong,
7850103,Quản lý đất đai,moi_truong,
7850104,Du lịch sinh thái,moi_truong,
7850106,Quản lý tài nguyên thiên nhiên,moi_truong,
7850196,Quản lý tài nguyên khoáng sản,moi_truong,
7850198,Quản lý tài nguyên nước,moi_truong,
7850199,Quản lý biển,moi_truong,
7850201,Bảo hộ lao động,moi_truong,
7850202,"An toàn, Vệ sinh lao động",moi_truong,
7860100,Nhóm ngành nghiệp vụ Cảnh sát (Thí sinh Nam),an_ninh,
7860113,"Phòng cháy chữa cháy và cứu nạn, cứu hộ (Thí sinh Nam, miền Bắc)",an_ninh,
7860114,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Bắc)",an_ninh,
7860201,Chỉ huy Tham mưu Lục quân,an_ninh,
7860207,Chỉ huy - Tham mưu đặc công (miền Nam),an_ninh,
7860214,Biên phòng (Thí sinh miền Bắc),an_ninh,
7860218,Hậu cần quân sự (Thí sinh Nam miền Bắc),an_ninh,
7860220,Kỹ sư quân sự (đào tạo chất lượng cao),an_ninh,
7860222,Quân sự cơ sở - Quân khu 1,an_ninh,
7860226,"Ngành Chỉ huy Tham mưu Phòng không, Không quân và Tác chiến điện tử (Thí sinh miền Bắc)",an_ninh,
7860229,Chỉ huy Kỹ thuật Hoá học (Miền Bắc),an_ninh,
7860231,"Trinh sát Kỹ thuật (Thí sinh Nam, phía Bắc)",an_ninh,
7903124,Kinh tế - Tài chính,kinh_te,
7908532,Quản lý tài nguyên thiên nhiên,moi_truong,
801,"Xuất bản, chuyên ngành Biên tập xuất bản",truyen_thong,
