major_code,subject_group_code
HQT05,D04
HQT05,C00
HQT06,A00
HQT06,A01
HQT06,D01
HQT06,D06
HQT06,D07
HQT06,D03
HQT06,D04
HQT07,D03
HQT07,D04
HQT07,C00
HQT07,A01
HQT07,D01
HQT07,D06
HQT07,D07
HQT08-01,A01
HQT08-01,D01
HQT08-01,D07
HQT08-01,C00
HQT08-02,A01
HQT08-02,D01
HQT08-02,D07
HQT08-02,C00
HQT08-03,A01
HQT08-03,D01
HQT08-03,D06
HQT08-03,D07
HQT08-03,C00
HQT08-04,A01
HQT08-04,D01
HQT08-04,D07
HQT08-04,D04
HQT08-04,C00
HQT01,A00
HQT01,D09
HQT01,D10
HQT01,D14
HQT01,D15
HQT02,D09
HQT02,D10
HQT02,D14
HQT02,D15
HQT03,D09
HQT03,D10
HQT04,A00
HQT04,D09
HQT04,D10
HQT04,D14
HQT04,D15
HQT05,A00
HQT05,D09
HQT05,D10
HQT05,D14
HQT05,D15
HQT06,D09
HQT06,D10
HQT07,A00
HQT07,D09
HQT07,D10
HQT07,D14
HQT07,D15
HQT08-01,A00
HQT08-01,D09
HQT08-01,D10
HQT08-01,D14
HQT08-01,D15
HQT08-02,A00
HQT08-02,D09
HQT08-02,D10
HQT08-02,D14
HQT08-02,D15
HQT08-03,A00
HQT08-03,D09
HQT08-03,D10
HQT08-03,D14
HQT08-03,D15
HQT08-04,A00
HQT08-04,D09
HQT08-04,D10
HQT08-04,D14
HQT08-04,D15
7340120,D07
7340120,D09
7340405,A00
7340405,A01
7340405,D01
7340405,D07
7380107,D14
7380107,D15
7480201,D07
7310101,D09
ACT01,A00
ACT01,A01
ACT01,D01
ACT01,D07
ACT02,A00
ACT02,A01
ACT02,D01
ACT02,D07
ACT03,A00
ACT03,A01
ACT03,D01
ACT03,D07
BANK01,A00
BANK01,A01
BANK01,D01
BANK01,D07
BANK04,A00
BANK04,A01
BANK04,D01
BANK04,D07
BANK05,A00
BANK05,A01
BANK05,D01
BANK05,D07
BANKK02,A00
BANKK02,A01
BANKK02,D01
BANKK02,D07
BANKK03,A00
BANKK03,A01
BANKK03,D01
BANKK03,D07
BUS01,A00
BUS01,A01
BUS01,D01
BUS01,D07
BUS02,A01
BUS02,D01
BUS02,D07
BUS02,D09
BUS03,A01
BUS03,D01
BUS03,D07
BUS03,D09
BUS04,A00
BUS04,A01
BUS04,D01
BUS04,D07
BUS05,A00
BUS05,A01
BUS05,D01
BUS05,D07
ECON01,A01
ECON01,D01
ECON01,D07
ECON01,D09
FIN01,A00
FIN01,A01
FIN01,D01
FIN01,D07
FIN02,A00
FIN02,A01
FIN02,D01
FIN02,D07
FIN03,A00
FIN03,A01
FIN03,D01
FIN03,D07
FL01,A01
FL01,D01
FL01,D07
FL01,D09
IB01,A01
IB01,D01
IB01,D07
IB01,D09
IB02,A01
IB02,D01
IB02,D07
IB02,D09
IB03,A00
IB03,A01
IB03,D01
IB03,D07
IT01,A00
IT01,A01
IT01,D01
IT01,D07
LAW01,A00
LAW01,A01
LAW01,D01
LAW01,D07
LAW02,C00
LAW02,C03
LAW02,D14
LAW02,D15
MIS01,A00
MIS01,A01
MIS01,D01
MIS01,D07
ACT04,A00
ACT04,A01
ACT04,D01
ACT04,D07
BANK02,A00
BANK02,A01
BANK02,D01
BANK02,D07
BANK03,A00
BANK03,A01
BANK03,D01
BANK03,D07
BANK06,A00
BANK06,A01
BANK06,D01
BANK06,D07
BUS02,A00
BUS06,A00
BUS06,A01
BUS06,D01
BUS06,D07
ECON02,A01
ECON02,D01
ECON02,D07
ECON02,D09
IB04,A01
IB04,D01
IB04,D07
IB04,D09
ACT01,D09
BANK01,D09
BANK06,D09
BANK07,A01
BANK07,D01
BANK07,D07
BANK07,D09
BUS01,D09
BUS06,D09
BUS07,A00
BUS07,A01
BUS07,D01
BUS07,D07
DS01,A00
DS01,A01
DS01,D01
DS01,D07
FIN01,D09
FIN04,A01
FIN04,D01
FIN04,D07
FIN04,D09
FL02,A01
FL02,D01
FL02,D07
FL02,D09
IB05,A01
IB05,D01
IB05,D07
IB05,D09
LAW01,D14
LAW01,C00
LAW01,C03
MIS02,A01
MIS02,D01
MIS02,D07
MIS02,D09
7380107,C03
BUS03,A00
ECON01,A00
ECON02,A00
FL01,A00
IB01,A00
IB02,A00
LAW02,A00
LAW02,A01
LAW02,D01
ACT01,Q00
ACT02,Q00
ACT03,Q00
ACT04,Q00
BANK01,Q00
