admission_option_id,subject_group_code
2a21b184-f49a-517f-8a9c-c1600bcafe85,Q00
1090d9a8-28aa-5237-868e-49f0520d5efd,A00
1090d9a8-28aa-5237-868e-49f0520d5efd,A01
1090d9a8-28aa-5237-868e-49f0520d5efd,A02
1090d9a8-28aa-5237-868e-49f0520d5efd,A03
1090d9a8-28aa-5237-868e-49f0520d5efd,A04
1090d9a8-28aa-5237-868e-49f0520d5efd,C01
1090d9a8-28aa-5237-868e-49f0520d5efd,X05
1090d9a8-28aa-5237-868e-49f0520d5efd,X06
76154b09-7863-5292-b264-eae93b2767d5,H00
d04a1575-e203-503e-bec1-5d61e8ec7ac5,A00
d04a1575-e203-503e-bec1-5d61e8ec7ac5,A07
d04a1575-e203-503e-bec1-5d61e8ec7ac5,C00
d04a1575-e203-503e-bec1-5d61e8ec7ac5,C04
d04a1575-e203-503e-bec1-5d61e8ec7ac5,X05
d04a1575-e203-503e-bec1-5d61e8ec7ac5,X21
d04a1575-e203-503e-bec1-5d61e8ec7ac5,X74
d04a1575-e203-503e-bec1-5d61e8ec7ac5,X78
d6ccbf1a-e016-5b29-b2d6-18cf1116172a,K00
d6ccbf1a-e016-5b29-b2d6-18cf1116172a,Q00
a4457c30-9803-5d81-bcf1-bfec2c837f46,A00
a4457c30-9803-5d81-bcf1-bfec2c837f46,A07
a4457c30-9803-5d81-bcf1-bfec2c837f46,C00
a4457c30-9803-5d81-bcf1-bfec2c837f46,C04
a4457c30-9803-5d81-bcf1-bfec2c837f46,X05
a4457c30-9803-5d81-bcf1-bfec2c837f46,X21
a4457c30-9803-5d81-bcf1-bfec2c837f46,X74
a4457c30-9803-5d81-bcf1-bfec2c837f46,X78
154a6fa6-5edc-5ce5-9f54-7093e5a62ae8,K00
154a6fa6-5edc-5ce5-9f54-7093e5a62ae8,Q00
15f95e26-ee73-566d-8153-c5b89ffafb60,A00
15f95e26-ee73-566d-8153-c5b89ffafb60,A01
15f95e26-ee73-566d-8153-c5b89ffafb60,A02
15f95e26-ee73-566d-8153-c5b89ffafb60,A03
15f95e26-ee73-566d-8153-c5b89ffafb60,A04
15f95e26-ee73-566d-8153-c5b89ffafb60,C01
15f95e26-ee73-566d-8153-c5b89ffafb60,X06
1ffdc08f-5cf9-53a5-be76-3054df1e6332,C01
1ffdc08f-5cf9-53a5-be76-3054df1e6332,C02
1ffdc08f-5cf9-53a5-be76-3054df1e6332,C03
1ffdc08f-5cf9-53a5-be76-3054df1e6332,C04
1ffdc08f-5cf9-53a5-be76-3054df1e6332,D01
1ffdc08f-5cf9-53a5-be76-3054df1e6332,X01
c5b2d76a-41bd-5ccf-9648-f77f8f18828c,K00
c5b2d76a-41bd-5ccf-9648-f77f8f18828c,Q00
0e462250-8c0a-5bc0-9624-2e9acd3a1a8b,D01
1bbe17a6-b620-5cb9-a370-a1ef9485e83b,C01
1bbe17a6-b620-5cb9-a370-a1ef9485e83b,C02
1bbe17a6-b620-5cb9-a370-a1ef9485e83b,C03
1bbe17a6-b620-5cb9-a370-a1ef9485e83b,C04
1bbe17a6-b620-5cb9-a370-a1ef9485e83b,D01
1bbe17a6-b620-5cb9-a370-a1ef9485e83b,X01
28a8b3e7-5b3a-5b25-a5f1-118088201166,D01
