university_short_name,old_program_id,old_program_code,canonical_program_id,effective_from_year,effective_to_year,reason,is_verified
BKA,7e672fd3-a393-5f32-abef-1439102c4ec4,TE1x,18b6eca0-3954-5a3d-a3b3-a81f3a0f48d3,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,333f0551-293d-525a-8b7d-1d1d44edb021,TE1y,18b6eca0-3954-5a3d-a3b3-a81f3a0f48d3,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,6b1c8660-3bf7-505b-833b-0efc38ea5e22,TE2x,554e0a67-7ef0-5965-879e-0f3f23cbd997,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,1f4adc01-7b86-5bcc-8a49-e998da896c94,TE2y,554e0a67-7ef0-5965-879e-0f3f23cbd997,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,85c5c82e-0d78-5441-bea3-788bc1ba093f,TE3x,d1e3caf4-d412-501c-b37c-7b401d26b5e3,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,06dc7a8b-13f2-5efb-841c-24b7b2d4d7f0,TE3y,d1e3caf4-d412-501c-b37c-7b401d26b5e3,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,8f26a80c-b5bd-51b2-b3e0-17da3368595a,TROY-BA,80cd47b7-cea3-5814-aabb-6776a8b76b15,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,01c12bd8-5476-5edb-a78a-1600222ca966,TROY-Bax,80cd47b7-cea3-5814-aabb-6776a8b76b15,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,f65f337f-edaa-5844-8ef5-f1fc2a174a83,TROY-Bay,80cd47b7-cea3-5814-aabb-6776a8b76b15,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,136c3890-bf16-5380-bece-48965bd136e4,TROY-ITx,b49a88fa-494a-56b0-8f72-ac77e15eb40c,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,5be7e0ea-3307-5b72-8cc8-deba0eddb7b9,TROY-ITy,b49a88fa-494a-56b0-8f72-ac77e15eb40c,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,32b07aa7-aeb4-5053-8134-237f8a6e7de6,TX1x,a031bb80-e129-578e-9002-5febe10ae14a,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,5695d8f9-ed44-5f7f-b39e-038490583a12,TX1y,a031bb80-e129-578e-9002-5febe10ae14a,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,85d281d6-7bb3-5d11-a28c-00a80797d464,7380101,3b8ca53f-1cf0-5513-8ca2-c01a35be7211,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,e221729f-a825-5db7-8371-8a3a98142f84,7380101_B_C00,3b8ca53f-1cf0-5513-8ca2-c01a35be7211,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
