id,university_short_name,major_code,is_active,program_source_code,program_name,source,source_school_id,missing_reason,base_program_code,quota,canonical_program_id
e0c415dd-7d08-5250-9f27-84ffe238507d,BKA,FL2x,false,FL2x,Tiếng Anh chuyên nghiệp quốc tế (do ĐHBK Hà Nội và ĐH Plymouth Marjon - Vương quốc Anh cấp bằng),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),FL2,,18d42dcb-4ab0-5152-8df2-50681fe75c6c
ad961b00-a876-595c-b743-76c82238bcb8,BKA,FL2y,false,FL2y,Tiếng Anh chuyên nghiệp quốc tế (do ĐHBK Hà Nội và ĐH Plymouth Marjon - Vương quốc Anh cấp bằng),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),FL2,,18d42dcb-4ab0-5152-8df2-50681fe75c6c
b35ee16e-656e-5115-b39d-d43e8380a546,BKA,FL3,true,FL3,Tiếng Trung KH&CN,tuyensinh247,302,,FL3,80,
e8ac8d46-7152-5b8b-990f-8c6633af66dd,BKA,FL4,true,FL4,Tiếng Hàn KH&CN (mới),tuyensinh247,,,FL4,40,
79baf835-2e47-5f05-b0f2-e8513962171d,BKA,HE1,true,HE1,Kỹ thuật Nhiệt,tuyensinh247,302,,HE1,250,
13c4e368-019b-5132-93a1-097f28f3cb77,BKA,HE1x,false,HE1x,Kỹ thuật Nhiệt,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),HE1,,79baf835-2e47-5f05-b0f2-e8513962171d
7318a13a-fc7c-5fa7-a273-2e23dec35448,BKA,HE1y,false,HE1y,Kỹ thuật Nhiệt,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),HE1,,79baf835-2e47-5f05-b0f2-e8513962171d
873473f9-de51-5357-9b31-6209df1671ff,BKA,IT-E10,true,IT-E10,Khoa học Dữ liệu và Trí tuệ nhân tạo (CT tiên tiến),tuyensinh247,302,,IT-E10,160,
36a3ef45-df2c-509d-a897-1edbf599a754,BKA,IT-E10x,false,IT-E10x,Khoa học Dữ liệu và Trí tuệ nhân tạo (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),IT-E10,,873473f9-de51-5357-9b31-6209df1671ff
39be5a18-2e0e-58c8-9c62-214c9af71462,BKA,IT-E15,true,IT-E15,An toàn không gian số - Cyber Security (CT tiên tiến),tuyensinh247,302,,IT-E15,40,
271ce317-4278-540f-bf55-0fbb2a3a2cdf,BKA,IT-E15x,false,IT-E15x,An toàn không gian số - Cyber Security (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),IT-E15,,39be5a18-2e0e-58c8-9c62-214c9af71462
e2f39d4f-face-50d6-8da8-65a078f357b2,BKA,IT-E6,true,IT-E6,Công nghệ Thông tin Việt - Nhật (tăng cường tiếng Nhật),tuyensinh247,302,,IT-E6,160,
f54a4f0a-358c-554c-b3f6-0ed01df85e5b,BKA,IT-E6x,false,IT-E6x,Công nghệ Thông tin Việt - Nhật (tăng cường tiếng Nhật),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),IT-E6,,e2f39d4f-face-50d6-8da8-65a078f357b2
